       JobID               Start    JobName  Partition    Elapsed   NNodes     MaxRSS     AveCPU      NCPUS   NTasks    Layout 
------------ ------------------- ---------- ---------- ---------- -------- ---------- ---------- ---------- -------- --------- 
3797400      2017-02-17T15:08:25 gfsenkf_4+        knl   00:12:12       80                            21760                    
3797400.bat+ 2017-02-17T15:08:25      batch              00:12:12        1        23M   00:02:40        268        1   Unknown 
3797400.ext+ 2017-02-17T15:08:25     extern              00:12:13       80          0   00:00:00      21760       80   Unknown 
3797400.0    2017-02-17T15:09:45 gribmeanp+              00:00:11       16      2348K   00:00:05        160       80     Block 
3797400.1    2017-02-17T15:09:45 gribmeanp+              00:00:15       16     13692K   00:00:08        160       80     Block 
3797400.2    2017-02-17T15:09:45 gribmeanp+              00:00:10       16          0   00:00:04        160       80     Block 
3797400.3    2017-02-17T15:09:46 gribmeanp+              00:00:14       16     13412K   00:00:07        160       80     Block 
3797400.4    2017-02-17T15:09:46 gribmeanp+              00:00:09       16          0   00:00:04        160       80     Block 
3797400.5    2017-02-17T15:10:08 psop_gfs_+              00:00:15       40          0   00:00:05        324       81     Block 
3797400.6    2017-02-17T15:10:14 global_cy+              00:00:28       40          0   00:00:07        324       81     Block 
3797400.7    2017-02-17T15:10:45 global_en+              00:02:21       26    315544K   00:01:44       6656     1664     Block 
3797400.8    2017-02-17T15:10:45 global_en+              00:02:28       26    297044K   00:01:51       6656     1664     Block 
3797400.9    2017-02-17T15:10:45 global_en+              00:02:19       26    249736K   00:01:41       6656     1664     Block 
3797400.10   2017-02-17T15:13:13 getsigens+              00:00:09       20          0   00:00:04        320       80     Block 
3797400.11   2017-02-17T15:13:13 getsigens+              00:00:09       20          0   00:00:04        320       80     Block 
3797400.12   2017-02-17T15:13:13 getsigens+              00:00:09       20          0   00:00:04        320       80     Block 
3797400.13   2017-02-17T15:14:00 global_fc+              00:05:05       80    258080K   00:04:43      20800     5200     Block 
3797400.14   2017-02-17T15:19:43 global_po+              00:00:31       26     55324K   00:00:18       6400     1600     Block 
3797400.15   2017-02-17T15:19:43 global_po+              00:00:31       26     24680K   00:00:18       6400     1600     Block 
3797400.16   2017-02-17T15:19:43 global_po+              00:00:32       26     24732K   00:00:18       6400     1600     Block 
3797400.17   2017-02-17T15:20:19 getsfcens+              00:00:05        8          0   00:00:01        320       80     Block 
3797400.18   2017-02-17T15:20:19 getsigens+              00:00:10        8          0   00:00:05        320       80     Block 
3797400.19   2017-02-17T15:20:19 getsfcens+              00:00:08        8          0   00:00:03        320       80     Block 
3797400.20   2017-02-17T15:20:19 getsigens+              00:00:11        8          0   00:00:05        320       80     Block 
3797400.21   2017-02-17T15:20:19 getsfcens+              00:00:08        8          0   00:00:03        320       80     Block 
3797400.22   2017-02-17T15:20:19 getsigens+              00:00:11        8     21420K   00:00:06        320       80     Block 
