       JobID               Start    JobName  Partition    Elapsed   NNodes     MaxRSS     AveCPU      NCPUS   NTasks MaxDiskReadTask MaxDiskWriteTask 
------------ ------------------- ---------- ---------- ---------- -------- ---------- ---------- ---------- -------- --------------- ---------------- 
3795636      2017-02-17T10:41:48 gfsenkf_4+        knl   00:16:57       80                            21760                                           
3795636.bat+ 2017-02-17T10:41:48      batch              00:16:57        1     12704K   00:02:34        268        1               0                0 
3795636.ext+ 2017-02-17T10:41:48     extern              00:17:00       80          0   00:00:00      21760       80              72            65534 
3795636.0    2017-02-17T10:42:00 gribmeanp+              00:00:15        2    100724K   00:00:05        160       80              59                0 
3795636.1    2017-02-17T10:42:01 gribmeanp+              00:00:24        2     12764K   00:00:12        160       80              31               40 
3795636.2    2017-02-17T10:42:01 gribmeanp+              00:00:28        2     12728K   00:00:15        160       80              61               40 
3795636.3    2017-02-17T10:42:01 gribmeanp+              00:00:16        2          0   00:00:05        160       80              59               40 
3795636.4    2017-02-17T10:42:02 gribmeanp+              00:00:16        2     21196K   00:00:05        160       80              19                0 
3795636.5    2017-02-17T10:42:35 psop_gfs_+              00:00:39        2     29264K   00:00:13        162       81               0               80 
3795636.6    2017-02-17T10:42:37 global_cy+              00:00:50        2     29884K   00:00:20        162       81              41                0 
3795636.7    2017-02-17T10:43:29 global_en+              00:01:19       80       744K   00:00:58       6760     1690               0                0 
3795636.8    2017-02-17T10:44:50 global_en+              00:02:10       80    123540K   00:01:04       6760     1690               0                0 
3795636.9    2017-02-17T10:47:00 global_en+              00:01:18       80     61868K   00:00:57       6760     1690               0                0 
3795636.10   2017-02-17T10:48:18 getsigens+              00:00:08       80          0   00:00:00        320       80           65534               65 
3795636.11   2017-02-17T10:48:26 getsigens+              00:00:09       80          0   00:00:00        320       80           65534               78 
3795636.12   2017-02-17T10:48:35 getsigens+              00:00:08       80          0   00:00:00        320       80           65534               79 
3795636.13   2017-02-17T10:49:32 global_fc+              00:04:48       80    257984K   00:04:20      20800     5200             390             3899 
3795636.14   2017-02-17T10:55:30 global_po+              00:00:41       80          0   00:00:24       3840      960             724              756 
3795636.15   2017-02-17T10:56:11 global_po+              00:00:31       80          0   00:00:24       3840      960             828              756 
3795636.16   2017-02-17T10:56:42 global_po+              00:00:33       80          0   00:00:25       3840      960             828              756 
3795636.17   2017-02-17T10:57:21 getsigens+              00:00:09       80          0   00:00:00        320       80           65534               70 
3795636.18   2017-02-17T10:57:30 getsfcens+              00:00:07       80          0   00:00:00        320       80           65534               77 
3795636.19   2017-02-17T10:57:38 getsigens+              00:00:10       80          0   00:00:00        320       80           65534               57 
3795636.20   2017-02-17T10:57:48 getsfcens+              00:00:07       80          0   00:00:00        320       80           65534               77 
3795636.21   2017-02-17T10:57:55 getsigens+              00:00:09       80          0   00:00:00        320       80           65534               65 
3795636.22   2017-02-17T10:58:05 getsfcens+              00:00:06       80          0   00:00:00        320       80           65534               73 
