gfsenkf_20crV3_cmip5oz_new/ensda_425_1915> sacct -j 3782631 -u compo --format="JobID,Start,JobName,Partition,Account,Elapsed,NNodes,MaxRSS,AveCPU,NCPUS,NTasks"
       JobID               Start    JobName  Partition    Account    Elapsed   NNodes     MaxRSS     AveCPU      NCPUS   NTasks 
------------ ------------------- ---------- ---------- ---------- ---------- -------- ---------- ---------- ---------- -------- 
3782631      2017-02-16T07:57:55 gfsenkf_4+        knl       m958   00:14:56       80                            21760          
3782631.bat+ 2017-02-16T07:57:55      batch                  m958   00:14:56        1     12720K   00:02:12        268        1 
3782631.ext+ 2017-02-16T07:57:55     extern                  m958   00:14:57       80          0   00:00:00      21760       80 
3782631.0    2017-02-16T07:58:08 gribmeanp+                  m958   00:00:15       80          0   00:00:00        320       80 
3782631.1    2017-02-16T07:58:23 gribmeanp+                  m958   00:00:11       80          0   00:00:00        320       80 
3782631.2    2017-02-16T07:58:34 gribmeanp+                  m958   00:00:17       80          0   00:00:00        320       80 
3782631.3    2017-02-16T07:58:51 gribmeanp+                  m958   00:00:10       80          0   00:00:00        320       80 
3782631.4    2017-02-16T07:59:01 gribmeanp+                  m958   00:00:13       80          0   00:00:00        320       80 
3782631.5    2017-02-16T08:00:01 psop_gfs_+                  m958   00:00:15       80          0   00:00:00        324       81 
3782631.6    2017-02-16T08:00:16 global_cy+                  m958   00:00:28       80    275964K   00:00:09        324       81 
3782631.7    2017-02-16T08:00:45 global_en+                  m958   00:01:15       80     24540K   00:00:57       6760     1690 
3782631.8    2017-02-16T08:02:00 global_en+                  m958   00:01:14       80     23652K   00:00:58       6760     1690 
3782631.9    2017-02-16T08:03:17 global_en+                  m958   00:01:14       80    466740K   00:00:59       6760     1690 
3782631.10   2017-02-16T08:04:31 getsigens+                  m958   00:00:10       80          0   00:00:00        320       80 
3782631.11   2017-02-16T08:04:44 getsigens+                  m958   00:00:09       80          0   00:00:00        320       80 
3782631.12   2017-02-16T08:04:54 getsigens+                  m958   00:00:08       80      1428K   00:00:00        320       80 
3782631.13   2017-02-16T08:05:35 global_fc+                  m958   00:04:05       80    257984K   00:03:41      20800     5200 
3782631.14   2017-02-16T08:10:17 global_po+                  m958   00:00:33       80     56528K   00:00:25       3840      960 
3782631.15   2017-02-16T08:10:50 global_po+                  m958   00:00:30       80          0   00:00:23       3840      960 
3782631.16   2017-02-16T08:11:20 global_po+                  m958   00:00:32       80          0   00:00:24       3840      960 
3782631.17   2017-02-16T08:11:57 getsigens+                  m958   00:00:07       80          0   00:00:00        320       80 
3782631.18   2017-02-16T08:12:05 getsfcens+                  m958   00:00:06       80          0   00:00:00        320       80 
3782631.19   2017-02-16T08:12:11 getsigens+                  m958   00:00:08       80          0   00:00:00        320       80 
3782631.20   2017-02-16T08:12:19 getsfcens+                  m958   00:00:07       80          0   00:00:00        320       80 
3782631.21   2017-02-16T08:12:26 getsigens+                  m958   00:00:07       80          0   00:00:00        320       80 
3782631.22   2017-02-16T08:12:38 getsfcens+                  m958   00:00:08       80          0   00:00:00        320       80 
